,Entropy,Variance,RMS,PP,Energy,BSF,BPFI,BPFO
0,16.16833,24.709272,1.2156701,21.290396,0.0,0.0,0.0,3.967662
1,0.0,0.0,0.0,0.0,11.495007,6.055085,31.752478,0.0
2,0.0,0.0,0.0,0.0,9.646771,4.272236,16.476646,2.9081185
3,0.0,0.0,0.0,0.0,9.031956,1.263234,16.031963,3.1609032
4,0.0,0.0,0.0,0.0,16.207857,1.1820395,31.24614,1.5569434
5,0.0,53.601063,0.0,12.896833,24.486925,0.0,14.16502,38.75178
6,0.0,0.0,15.072379,0.0,2.917202,17.383327,3.4590666,0.0
7,1.6406316,22.06929,0.0,13.019196,1.5460197,0.0,0.0,10.440425
